timestamp,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD
,45.0,77.0,55.0,1.0
,45.0,77.0,55.0,1.0
,45.0,77.0,55.0,1.0
,45.0,77.0,55.0,1.0
2025-03-09T13:00:00,45.0,77.0,55.0,1.0
,45.0,77.0,55.0,1.0
2025-03-09T13:00:00,45.0,77.0,55.0,1.0
timestamp_ISO,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD
2025-03-09T16:47:42,,,,
timestamp_ISO,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD
2025-03-09T16:55:21,88.0,87.0,79.0,1.3
timestamp_ISO,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD
2025-03-09T13:00:00,78.0,77.0,75.0,2.0
timestamp_ISO,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD
2025-03-09T16:59:24,67.0,66.0,63.0,1.5
timestamp_entry_ISO,timestamp_intended_ISO,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD
2025-03-09T19:15:14,2025-03-09T19:15:14,67.0,66.0,63.0,1.5
timestamp_entry_ISO,timestamp_intended_ISO,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD
2025-03-09T19:16:02,2025-03-09T14:00:00,67.0,66.0,63.0,1.5
timestamp_entry_ISO,timestamp_intended_ISO,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD
2025-03-09T19:26:41,2025-03-09T14:00:00,67.0,66.0,63.0,1.5
timestamp_entry_ISO,timestamp_intended_ISO,inluent_flow_rate_MGD,after_wet_well_flow_rate_MGD,effluent_flow_rate_MGD,was_flow_rate_MGD,operator
2025-03-09T19:28:05,2025-03-09T14:00:00,67.0,66.0,63.0,1.5,Clayton Bennett
